,brand,model,price,year,kilometer,fuel,gear
452,Toyota,Yaris,15600,2017,21000,Bensiini,-
453,Toyota,Avensis,2990,2004,316600,Bensiini,Manuaali
454,Audi,A6,4750,2005,245000,Bensiini,-
455,Peugeot,207,2500,2006,183000,Bensiini,-
457,Fiat,Punto,2800,2009,132690,Bensiini,Manuaali
458,Audi,A3,36800,2020,25000,Bensiini,Automaatti
459,Volvo,V90,3699,1997,280000,Bensiini,Automaatti
460,Volkswagen,Polo,14900,2020,500,Bensiini,Manuaali
461,Mercedes-Benz,E-sarja,4200,2009,514000,Diesel,Automaatti
462,Audi,A3,8490,2010,235000,Bensiini,Automaatti
463,Volvo,V40,25900,2019,28000,Bensiini,Automaatti
464,Audi,A3,6990,2011,205000,Diesel,Manuaali
465,Volvo,V70,2200,2003,396000,Bensiini,-
466,Renault,Clio,1900,2008,316000,Bensiini,Manuaali
467,Toyota,RAV4,19900,2016,157000,Diesel,Manuaali
468,Toyota,Avensis,3950,2005,282000,Bensiini,Manuaali
469,Peugeot,508,8990,2013,148000,Diesel,Manuaali
470,KIA,Carens,17490,2018,73000,Diesel,Manuaali
471,Skoda,Octavia,19900,2016,39000,Diesel,Automaatti
472,Toyota,Yaris,15600,2017,21000,Bensiini,Automaatti
473,Volkswagen,Polo,10900,2016,30000,Bensiini,Manuaali
474,Peugeot,3008,25580,2018,92000,Diesel,Automaatti
